,Year,AccumulatedDD0,AccumulatedDD20,AccumulatedDD25
1,2016-2017,4314.4,276.51,65.73
2,2017-2018,4706.65,434.74,135.28
3,2018-2019,3947.85,130.99,17.48
4,2019-2020,3985.1,152.05,21.87
5,2020-2021,3825.2,122.33,12.57
