Date,Hour (PST),Air Temp (C),Soil Temp (C)
11/9/2018,2400,9.7,16.5
11/10/2018,100,9.7,16.4
11/10/2018,200,9,16.4
11/10/2018,300,7.8,16.3
11/10/2018,400,7.6,16.2
11/10/2018,500,8.2,16.1
11/10/2018,600,7.3,16
11/10/2018,700,6.7,15.8
11/10/2018,800,7.6,15.8
11/10/2018,900,13,15.7
11/10/2018,1000,17.4,15.6
11/10/2018,1100,19.6,15.5
11/10/2018,1200,22.4,15.5
11/10/2018,1300,23,15.6
11/10/2018,1400,20.8,15.7
11/10/2018,1500,20.3,15.8
11/10/2018,1600,19.3,16
11/10/2018,1700,16.9,16.1
11/10/2018,1800,13.3,16.2
11/10/2018,1900,10.8,16.3
11/10/2018,2000,9.3,16.3
11/10/2018,2100,8.4,16.3
11/10/2018,2200,7.8,16.2
11/10/2018,2300,7.3,16.2
11/10/2018,2400,6.9,16.1
11/11/2018,100,6.5,16
11/11/2018,200,5.8,15.9
11/11/2018,300,5.1,15.8
11/11/2018,400,5,15.7
11/11/2018,500,5.2,15.6
11/11/2018,600,4.1,15.5
11/11/2018,700,8.9,15.4
11/11/2018,800,9.3,15.4
11/11/2018,900,10.4,15.3
11/11/2018,1000,15.1,15.2
11/11/2018,1100,19.3,15.2
11/11/2018,1200,22,15.1
11/11/2018,1300,23.6,15.2
11/11/2018,1400,23.9,15.3
11/11/2018,1500,22.2,15.4
11/11/2018,1600,20.1,15.5
11/11/2018,1700,18.3,15.7
11/11/2018,1800,14.7,15.7
11/11/2018,1900,11.8,15.8
11/11/2018,2000,9.9,15.8
11/11/2018,2100,8.6,15.8
11/11/2018,2200,8,15.8
11/11/2018,2300,7.4,15.7
11/11/2018,2400,6.7,15.6
11/12/2018,100,5.8,15.6
11/12/2018,200,5.9,15.5
11/12/2018,300,6.7,15.4
11/12/2018,400,6.2,15.3
11/12/2018,500,5.4,15.2
11/12/2018,600,5.2,15.1
11/12/2018,700,5.1,15
11/12/2018,800,5.5,14.9
11/12/2018,900,11.5,14.8
11/12/2018,1000,18.8,14.7
11/12/2018,1100,22.1,14.7
11/12/2018,1200,23.6,14.7
11/12/2018,1300,24.7,14.7
11/12/2018,1400,24.1,14.8
11/12/2018,1500,22.4,15
11/12/2018,1600,21.4,15.1
11/12/2018,1700,19.5,15.3
11/12/2018,1800,13.8,15.4
11/12/2018,1900,11.7,15.4
11/12/2018,2000,9.3,15.5
11/12/2018,2100,8.3,15.4
11/12/2018,2200,7.9,15.4
11/12/2018,2300,7,15.3
11/12/2018,2400,6.7,15.2
11/13/2018,100,6.8,15.2
11/13/2018,200,6.5,15.1
11/13/2018,300,10.1,15
11/13/2018,400,12.9,14.9
11/13/2018,500,8.4,14.8
11/13/2018,600,7.8,14.7
11/13/2018,700,6.6,14.7
11/13/2018,800,6.8,14.6
11/13/2018,900,13.2,14.5
11/13/2018,1000,14.9,14.5
11/13/2018,1100,19.8,14.4
11/13/2018,1200,21.1,14.5
11/13/2018,1300,22.2,14.5
11/13/2018,1400,23.3,14.6
11/13/2018,1500,21.6,14.7
11/13/2018,1600,18.8,14.9
11/13/2018,1700,16.9,15
11/13/2018,1800,15.8,15.2
11/13/2018,1900,14,15.2
11/13/2018,2000,14.4,15.3
11/13/2018,2100,18.2,15.3
11/13/2018,2200,18.5,15.3
11/13/2018,2300,15,15.3
11/13/2018,2400,17.6,15.3
11/14/2018,100,17.7,15.2
11/14/2018,200,17.3,15.2
11/14/2018,300,17.7,15.2
11/14/2018,400,17.2,15.1
11/14/2018,500,17.5,15.1
11/14/2018,600,17.3,15
11/14/2018,700,16.7,14.9
11/14/2018,800,16.9,14.9
11/14/2018,900,18,14.8
11/14/2018,1000,19,14.8
11/14/2018,1100,20.8,14.8
11/14/2018,1200,23,14.7
11/14/2018,1300,24.6,14.8
11/14/2018,1400,25.8,14.8
11/14/2018,1500,26.1,14.9
11/14/2018,1600,24.4,15
11/14/2018,1700,20.1,15.1
11/14/2018,1800,16.5,15.2
11/14/2018,1900,16.4,15.3
11/14/2018,2000,11.9,15.3
11/14/2018,2100,11.3,15.3
11/14/2018,2200,17.3,15.3
11/14/2018,2300,13.6,15.2
11/14/2018,2400,10.3,15.2
11/15/2018,100,13.4,15.1
11/15/2018,200,15.8,15.1
11/15/2018,300,15.7,15
11/15/2018,400,15.8,14.9
11/15/2018,500,16,14.9
11/15/2018,600,16.3,14.8
11/15/2018,700,16.8,14.8
11/15/2018,800,15.2,14.7
11/15/2018,900,15.6,14.7
11/15/2018,1000,21.7,14.7
11/15/2018,1100,23.6,14.7
11/15/2018,1200,24.8,14.7
11/15/2018,1300,25.3,14.8
11/15/2018,1400,25,14.9
11/15/2018,1500,23.2,15
11/15/2018,1600,22.5,15.2
11/15/2018,1700,19.9,15.3
11/15/2018,1800,14.9,15.4
11/15/2018,1900,13,15.5
11/15/2018,2000,11.7,15.5
11/15/2018,2100,10,15.5
11/15/2018,2200,9.3,15.5
11/15/2018,2300,8.6,15.4
11/15/2018,2400,8,15.4
11/16/2018,100,7.4,15.3
11/16/2018,200,6.8,15.2
11/16/2018,300,7.1,15.1
11/16/2018,400,7.4,15
11/16/2018,500,7.6,15
11/16/2018,600,8,14.9
11/16/2018,700,7.2,14.8
11/16/2018,800,8.6,14.8
11/16/2018,900,12.5,14.7
11/16/2018,1000,16.9,14.7
11/16/2018,1100,20.3,14.6
11/16/2018,1200,22.1,14.6
11/16/2018,1300,23,14.7
11/16/2018,1400,23.4,14.8
11/16/2018,1500,23.2,15
11/16/2018,1600,22.2,15.1
11/16/2018,1700,19.4,15.3
11/16/2018,1800,14.2,15.4
11/16/2018,1900,11.6,15.5
11/16/2018,2000,10.3,15.5
11/16/2018,2100,9.3,15.5
11/16/2018,2200,8.2,15.5
11/16/2018,2300,7.5,15.4
11/16/2018,2400,7.6,15.4
11/17/2018,100,7.6,15.3
11/17/2018,200,9.8,15.2
11/17/2018,300,10.1,15.1
11/17/2018,400,9,15
11/17/2018,500,9,15
11/17/2018,600,7.4,14.9
11/17/2018,700,6.4,14.9
11/17/2018,800,6,14.9
11/17/2018,900,10.7,14.8
11/17/2018,1000,14.4,14.8
11/17/2018,1100,16.4,14.7
11/17/2018,1200,17.9,14.7
11/17/2018,1300,18.9,14.8
11/17/2018,1400,18.6,14.9
11/17/2018,1500,17.8,15
11/17/2018,1600,16.2,15.1
11/17/2018,1700,15.2,15.3
11/17/2018,1800,14.1,15.3
11/17/2018,1900,13.1,15.4
11/17/2018,2000,12.6,15.4
11/17/2018,2100,11.7,15.4
11/17/2018,2200,11.3,15.4
11/17/2018,2300,10.7,15.4
11/17/2018,2400,11.1,15.4
11/18/2018,100,10.6,15.4
11/18/2018,200,10.7,15.3
11/18/2018,300,11,15.3
11/18/2018,400,11.6,15.2
11/18/2018,500,10.9,15.2
11/18/2018,600,9.7,15.2
11/18/2018,700,9.8,15.1
11/18/2018,800,10.5,15.1
11/18/2018,900,13.1,15.1
11/18/2018,1000,15.8,15
11/18/2018,1100,18.1,15
11/18/2018,1200,19.7,15.1
11/18/2018,1300,20.8,15.1
11/18/2018,1400,20.8,15.2
11/18/2018,1500,18.3,15.4
11/18/2018,1600,18.2,15.5
11/18/2018,1700,16.6,15.6
11/18/2018,1800,14.6,15.7
11/18/2018,1900,12.6,15.8
11/18/2018,2000,11.7,15.8
11/18/2018,2100,10.9,15.8
11/18/2018,2200,9.5,15.8
11/18/2018,2300,9.2,15.7
11/18/2018,2400,9.2,15.7
11/19/2018,100,8.8,15.6
11/19/2018,200,8.4,15.5
11/19/2018,300,8.2,15.4
11/19/2018,400,7.9,15.4
11/19/2018,500,7.2,15.3
11/19/2018,600,7.1,15.2
11/19/2018,700,7.4,15.2
11/19/2018,800,8.2,15.1
11/19/2018,900,11.4,15
11/19/2018,1000,12.8,15
11/19/2018,1100,15,14.9
11/19/2018,1200,17.2,14.9
11/19/2018,1300,18.5,15
11/19/2018,1400,17.7,15
11/19/2018,1500,18.2,15.2
11/19/2018,1600,19.2,15.3
11/19/2018,1700,17.9,15.4
11/19/2018,1800,14.3,15.5
11/19/2018,1900,12.2,15.6
11/19/2018,2000,10.2,15.6
11/19/2018,2100,9.3,15.6
11/19/2018,2200,9.3,15.6
11/19/2018,2300,9.3,15.5
11/19/2018,2400,9.1,15.5
11/20/2018,100,10.8,15.4
11/20/2018,200,10.9,15.3
11/20/2018,300,11.6,15.3
11/20/2018,400,11.6,15.2
11/20/2018,500,9.5,15.2
11/20/2018,600,8.3,15.1
11/20/2018,700,7.5,15.1
11/20/2018,800,7.8,15
11/20/2018,900,11.4,15
11/20/2018,1000,15.4,14.9
11/20/2018,1100,18.7,14.9
11/20/2018,1200,20.6,14.9
11/20/2018,1300,21.5,14.9
11/20/2018,1400,20.7,15
11/20/2018,1500,20.2,15.1
11/20/2018,1600,19.3,15.3
11/20/2018,1700,17.9,15.4
11/20/2018,1800,14.8,15.5
11/20/2018,1900,12.6,15.6
11/20/2018,2000,11.8,15.6
11/20/2018,2100,10.4,15.6
11/20/2018,2200,9.6,15.6
11/20/2018,2300,9.2,15.5
11/20/2018,2400,8.9,15.5
11/21/2018,100,9.3,15.4
11/21/2018,200,10.2,15.3
11/21/2018,300,11.1,15.3
11/21/2018,400,11.7,15.2
11/21/2018,500,12.6,15.2
11/21/2018,600,12,15.1
11/21/2018,700,12.1,15.1
11/21/2018,800,12.4,15.1
11/21/2018,900,15.4,15.1
11/21/2018,1000,17.9,15.1
11/21/2018,1100,19.1,15.1
11/21/2018,1200,18.8,15.1
11/21/2018,1300,19.1,15.1
11/21/2018,1400,18.4,15.2
11/21/2018,1500,17.6,15.2
11/21/2018,1600,17.9,15.3
11/21/2018,1700,17.6,15.4
11/21/2018,1800,15.2,15.4
11/21/2018,1900,14.7,15.5
11/21/2018,2000,14.1,15.5
11/21/2018,2100,14,15.4
11/21/2018,2200,13.9,15.4
11/21/2018,2300,13.8,15.4
11/21/2018,2400,13.1,15.4
11/22/2018,100,12.6,15.4
11/22/2018,200,12.5,15.4
11/22/2018,300,11.8,15.3
11/22/2018,400,11.4,15.3
11/22/2018,500,11.1,15.3
11/22/2018,600,11.4,15.3
11/22/2018,700,12.3,15.2
11/22/2018,800,12.6,15.2
11/22/2018,900,13.6,15.2
11/22/2018,1000,14.8,15.1
11/22/2018,1100,16.1,15.1
11/22/2018,1200,17.1,15.2
11/22/2018,1300,17.7,15.2
11/22/2018,1400,17.8,15.3
11/22/2018,1500,17.6,15.5
11/22/2018,1600,17,15.6
11/22/2018,1700,15.6,15.7
11/22/2018,1800,13.5,15.8
11/22/2018,1900,11.8,15.8
11/22/2018,2000,10.8,15.9
11/22/2018,2100,10.3,15.8
11/22/2018,2200,9.6,15.8
11/22/2018,2300,9,15.8
11/22/2018,2400,8.1,15.7
11/23/2018,100,7.5,15.6
11/23/2018,200,7.7,15.6
11/23/2018,300,7.8,15.5
11/23/2018,400,7.8,15.4
11/23/2018,500,8.3,15.4
11/23/2018,600,9.1,15.3
11/23/2018,700,9.8,15.2
11/23/2018,800,10.4,15.2
11/23/2018,900,11,15.1
11/23/2018,1000,12.1,15.1
11/23/2018,1100,13,15.1
11/23/2018,1200,13.8,15.1
11/23/2018,1300,14.7,15.1
11/23/2018,1400,15.1,15.2
11/23/2018,1500,15.9,15.2
11/23/2018,1600,15.7,15.3
11/23/2018,1700,15.4,15.4
11/23/2018,1800,15.3,15.5
11/23/2018,1900,15.3,15.5
11/23/2018,2000,15.2,15.6
11/23/2018,2100,14.8,15.6
11/23/2018,2200,14.7,15.6
11/23/2018,2300,14.4,15.7
11/23/2018,2400,14.5,15.7
11/24/2018,100,14.3,15.7
11/24/2018,200,14,15.7
11/24/2018,300,12.7,15.7
11/24/2018,400,12.5,15.7
11/24/2018,500,12.6,15.7
11/24/2018,600,12.9,15.6
11/24/2018,700,13.3,15.6
11/24/2018,800,13.8,15.6
11/24/2018,900,15.3,15.6
11/24/2018,1000,16.5,15.6
11/24/2018,1100,17.4,15.6
11/24/2018,1200,18.4,15.6
11/24/2018,1300,19.1,15.7
11/24/2018,1400,19.3,15.7
11/24/2018,1500,18.3,15.8
11/24/2018,1600,17.4,15.9
11/24/2018,1700,16.4,16.1
11/24/2018,1800,15.9,16.1
11/24/2018,1900,15.9,16.2
11/24/2018,2000,15.3,16.3
11/24/2018,2100,15.4,16.3
11/24/2018,2200,15.7,16.3
11/24/2018,2300,15.3,16.3
11/24/2018,2400,15.2,16.3
11/25/2018,100,14.7,16.3
11/25/2018,200,14.5,16.2
11/25/2018,300,14.9,16.2
11/25/2018,400,14.9,16.2
11/25/2018,500,14.7,16.1
11/25/2018,600,14.6,16.1
11/25/2018,700,14.2,16.1
11/25/2018,800,14.5,16
11/25/2018,900,15.2,16
11/25/2018,1000,16.6,16
