Year,Replicate,Variety,Resistance category,Final mortality  ,mortality average,,,,,
2018-2019,2,ps 9271,2,45.0,22.5,,,,,
2018-2019,3,ps 9271,2,42.1,22.5,,,,,
2018-2019,4,ps 9271,2,15.0,22.5,,,,,
2019-2020,1,ps 9271,2,10.0,22.5,,,,,
2019-2020,2,ps 9271,2,0.0,22.5,,,,,
2019-2020,3,ps 9271,2,5.0,22.5,,,,,
2019-2020,4,ps 9271,2,5.0,22.5,,,,,
2016-2017,1,PS 9271 ,2,15.0,22.5,,,,,
2016-2017,2,PS 9271 ,2,25.0,22.5,,,,,
2016-2017,3,PS 9271 ,2,10.0,22.5,,,,,
2016-2017,4,PS 9271 ,2,20.0,22.5,,,,,
2020-2021,1,ps 9271 ,2,15.0,22.5,,,,,
2020-2021,2,ps 9271 ,2,5.6,22.5,,,,,
2020-2021,3,ps 9271 ,2,0.0,22.5,,,,,
2020-2021,4,ps 9271 ,2,10.0,22.5,,,,,
2016-2017,1,Ruby June,4,94.4,83.7,,,,,
2016-2017,2,Ruby June,4,94.4,83.7,,,,,
2016-2017,3,Ruby June,4,70.6,83.7,,,,,
2016-2017,4,Ruby June,4,100.0,83.7,,,,,
2017-2018,1,Ruby June,4,100.0,83.7,,,,,
2017-2018,2,Ruby June,4,100.0,83.7,,,,,
2017-2018,3,Ruby June,4,100.0,83.7,,,,,
2017-2018,4,Ruby June,4,100.0,83.7,,,,,
2018-2019,1,Ruby June,4,80.0,83.7,,,,,
2018-2019,2,Ruby June,4,85.0,83.7,,,,,
2018-2019,3,Ruby June,4,80.0,83.7,,,,,
2018-2019,4,Ruby June,4,75.0,83.7,,,,,
2019-2020,1,Ruby June,4,95.0,83.7,,,,,
2019-2020,2,Ruby June,4,90.0,83.7,,,,,
2019-2020,3,Ruby June,4,88.9,83.7,,,,,
2019-2020,4,Ruby June,4,100.0,83.7,,,,,
2020-2021,1,Ruby June ,4,65.0,83.7,,,,,
2020-2021,2,Ruby June ,4,55.0,83.7,,,,,
2020-2021,3,Ruby June ,4,26.3,83.7,,,,,
2020-2021,4,Ruby June ,4,73.7,83.7,,,,,
2016-2017,1,Sweet Ann,4,85.0,75.4,,,,,
2016-2017,2,Sweet Ann,4,70.0,75.4,,,,,
2016-2017,3,Sweet Ann,4,60.0,75.4,,,,,
2016-2017,4,Sweet Ann,4,60.0,75.4,,,,,
2017-2018,1,Sweet Ann,4,100.0,75.4,,,,,
2017-2018,2,Sweet Ann,4,95.0,75.4,,,,,
2017-2018,3,Sweet Ann,4,90.0,75.4,,,,,
2017-2018,4,Sweet Ann,4,95.0,75.4,,,,,
2018-2019,1,Sweet Ann,4,94.7,75.4,,,,,
2018-2019,2,Sweet Ann,4,90.0,75.4,,,,,
2018-2019,3,Sweet Ann,4,85.0,75.4,,,,,
2018-2019,4,Sweet Ann,4,90.0,75.4,,,,,
2019-2020,1,Sweet Ann,4,90.0,75.4,,,,,
2019-2020,2,Sweet Ann,4,80.0,75.4,,,,,
2019-2020,3,Sweet Ann,4,81.3,75.4,,,,,
2019-2020,4,Sweet Ann,4,100.0,75.4,,,,,
2020-2021,1,Sweet Ann ,4,52.6,75.4,,,,,
2020-2021,2,Sweet Ann ,4,35.0,75.4,,,,,
2020-2021,3,Sweet Ann ,4,20.0,75.4,,,,,
2020-2021,4,Sweet Ann ,4,35.0,75.4,,,,,
