"Year","mortality_mean_year","Year_group","total_precip_mean_year","soil_temp_mean_year","air_max_temp_mean_year","air_min_temp_mean_year","mean_wind_speed_year","air_temp_mean_year"
"2016-2017",48.028125,"17",95.8555555555556,16.0444444444444,21.6444444444444,10.0444444444444,1.66666666666667,15.1333333333333
"2017-2018",73.825,"18",34.5888888888889,16.1444444444444,24.7,10.5,1.75555555555556,16.3888888888889
"2018-2019",55.30625,"19",79.3444444444444,16.1222222222222,19.9222222222222,8.93333333333333,1.54444444444444,13.8444444444444
"2019-2020",46.246875,"20",42.1555555555556,16.1777777777778,20.7111111111111,8.76666666666667,1.57777777777778,14.1222222222222
"2020-2021",18.071875,"21",31.2,15.9777777777778,20.7222222222222,8.51111111111111,1.78888888888889,13.8333333333333
